review_id,reviewContent,rating,reviewTime,buyerName,skuInfo,images,likeCount
,"Chai 1200ml tiện lợi,",5,17 Dec 2024,nguyễn Hà,,,0
,mùi hương cũng khá thơm mà kô biết chất lượng ra sao,5,05 Apr 2025,nguyenvanthuyen240,,"[{'title': None, 'url': 'https://lzd-u.slatic.net/efb794600d574af6900a255bca1d5712_ed0f106f5d094da9b66b87ffcc615c2f.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,chất lượng túi đẹp có 3 ngăn đựng đố rất tiện lợi ổ khóa đep và chắc chắn sẽ ủng hộ Sốp nhiều,5,09 Nov 2023,0***2,,,0
,"Dầu gọi này mình mua của shop mới sử dụng nhe mọi người , thấy không thơm mấy bọt cũng ích. Nói chung tiền nào của nấy munhf ham rữ mà.",5,24 Sep 2024,9***1,,"[{'title': None, 'url': 'https://lzd-u.slatic.net/814ee3c8511f4a7687db0002893c5bea_3_1727195272.124684.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,Sao phía sau chữ Thái Lan mà ko phải chữ VN vậy shop,5,02 Dec 2024,0***9,,,0
,"nói chung trung bình khá, k có bọt nhiều, k thơm",5,29 Oct 2024,Du Tran,,"[{'title': None, 'url': 'https://lzd-u.slatic.net/94bfa52067c74b799b2b425b2d2143f7_a25a8e7c44fd4006aa80cd08b4f345a7.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,"treo đầu dê bán thịt chó, đăng là romano giao là herarh shourdersr,chất lượng thì tiền nào của đó,kg có gì rẻ mà ngon,đóng gói thì quá lâu, tphcm giao về vĩnh long có10ngày",1,05 Nov 2024,h***n,,"[{'title': None, 'url': 'https://lzd-u.slatic.net/e0843eda6c354ea5b60688ad5f67b03b_c30957452cb8452889568b44c25c4baa.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,Hiệu quả:ok,5,31 Mar 2025,0***7,,,2
,Hương thơm:dầu gội nước hoa sạch gau,5,23 Oct 2024,ToNy Le,,,0
,sản phẩm cũng tốt.,5,12 Dec 2024,giang xu ly,,"[{'title': None, 'url': 'https://lzd-u.slatic.net/7bd822c32a1c4e6c98495e002a2d747f_9c019614363840c9859c5ac656183649.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,sản phẩm tốt síp bơ nhiệt tình,5,04 Feb 2025,0***2,,,2
,"Làm cho tóc cảm thấy mềm mại và mượt mà,",5,01 Oct 2024,Huỳnh Dương Quyết,,,0
,OK,5,15 Nov 2024,Hùng,,,2
,Hương thơm:êm dịu,5,19 Mar 2025,Thanh Pham,,,0
,"Bảo vệ màu sắc cho tóc của bạn, Làm cho tóc cảm thấy mềm mại và mượt mà, Chai 1200ml tiện lợi, Công thức nhẹ nhàng cho sử dụng hàng ngày,",5,04 Sep 2024,ngoc le,,"[{'title': None, 'url': 'https://lzd-u.slatic.net/5bbc5f12feb74d84b6bc9d573077ac61_3bbecba8d0694c619331662dc92b9cd0.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,chất lượng kém ko bọt ko mùi thơm,5,19 Sep 2024,Han Ong Thanh,,,0
,"Công thức nhẹ nhàng cho sử dụng hàng ngày, Hoàn hảo cho việc chăm sóc tóc nam,",5,21 Sep 2024,Đời Bạc,,,0
,ít bọt,5,24 Sep 2024,Đức Trần,,,0
,"Hương thơm:  Giữ màu tóc của bạn sống động, Công thức nhẹ nhàng cho sử dụng hàng ngày, 
 Thành phần:  Giữ màu tóc của bạn sống động, Không có thương hiệu, nhưng chất lượng tuyệt vời, Công thức nhẹ nhàng cho sử dụng hàng ngày,",5,22 Sep 2024,Tai Vo,,,0
,Thành phần:hang ko tot. ko nen mua nhe,5,21 Nov 2024,Tiến Thành Nguyễn,,,0
