review_id,reviewContent,rating,reviewTime,buyerName,skuInfo,images,likeCount
,"Giảm nhờn da đầu, Nhẹ nhàng với tóc và da đầu, Làm dịu da đầu khô,(hình ảnh mang tính chất nhận xu)",5,31 Jul 2024,0***4,Chọn:Combo 3 chai kèm quà,"[{'title': None, 'url': 'https://lzd-u.slatic.net/f891c7451f9b4efbb578a2ebe00609f5_c39a79ff63fa44a6a9ab84d1e30a90ff.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",2
,giao hàng nhanh,5,15 Feb 2023,H***h,Chọn:1 chai 80ml,"[{'title': None, 'url': 'https://lzd-u.slatic.net/f99730ee886b4789ba12dbb2acf57b4f_be9f0b61ecd44084971b2af57ce4375b.jpg', 'sort': 1, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,ได้รับของรวดเร็วทันใช้มากค่ะ ถ้าใช้ดี ใช้แล้วหนังศีรษะหายลอกจะสั่งซื้ออีกรอบ,5,06 Sep 2025,S***h,Variation3:1 chai 80ml,"[{'title': None, 'url': 'https://lzd-u.slatic.net/3ac848e701f845d99463a85dbd294645_1_1757145454.851616.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,"Tuyệt vời cho chuyến đi, Nhẹ nhàng với tóc và da đầu, Giảm nhờn da đầu, Ngăn ngừa rụng tóc,",5,11 May 2024,0***6,Chọn:1 chai 80ml,"[{'title': None, 'url': 'https://lzd-u.slatic.net/538a9d040e104ecba8dca871c7dd564c_7d7b0b05437d4cdaa1102b46a8e71ca6.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,"giao hàng đúng như quảng cáo, shipper vui vẻ nhiệt tình, đóng gói rất kỹ lưỡng, hàng chưa sử dụng nên chưa biết chất lượng,khi sử dụng có kết quả sẽ đánh giá tiếp.",5,08 Oct 2023,THANH SI,Chọn:Dầu gội trị gàu nấm,"[{'title': None, 'url': 'https://lzd-u.slatic.net/0004e73d89af40f7bd1f966e32cc050c_bc71398559ab48838d4e3ee2d46f44b9.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/0004e73d89af40f7bd1f966e32cc050c_dda16e9dc695473c9e293aa5cd8d4785.jpg', 'sort': 1, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/0004e73d89af40f7bd1f966e32cc050c_dc4b4cf2677f41d894819bbbc2bac703.jpg', 'sort': 2, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/0004e73d89af40f7bd1f966e32cc050c_cba4f7d8032c48d5bb6f6ff9c1cbd3f4.jpg', 'sort': 3, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,Rất ok nhé!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5,11 Sep 2023,Minh Đ.,Chọn:1 chai 80ml,"[{'title': None, 'url': 'https://lzd-u.slatic.net/e4ab4d76d2314cd0b866703268f4d23d_4_1694439541.073600.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",1
,"đã nhận được
đóng gói kỹ
giao hàng ổn
chất lượng sản phẩm chưa sử dụng
Hiệu quả chống lại nhiễm trùng nấm, 
Giảm da đầu nhờn, Giảm da đầu nhờn chưa biết",5,2 weeks ago,Kiên,Chọn:1 chai 80ml,"[{'title': None, 'url': 'https://lzd-u.slatic.net/e2d60eea09214b1a90a2c83275390858_71cd6edb48254a72b6a05eb03ded60cd.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,"dầu gội chai nhỏ hơn mình tưởng, hi vọng sẽ giải quyết được vấn đề nấm da đầu của chồng mình, hiệu quả sẽ ủng hộ shop tiếp. đợt trước mua kem bôi nấm thì tháy hiệu quả khá tốt",5,18 Sep 2023,hangly,Chọn:1 chai 80ml,"[{'title': None, 'url': 'https://lzd-u.slatic.net/3dbd2182c31b4c77ad508a96924372fb_ed9e1a41ec1843839e309813ea08b7db.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,"Nhẹ nhàng với tóc và da đầu, Công thức độc đáo từ Đức, 
Đã nhận hàng, chưa dùng nên chư biết chất lượng",5,10 Feb 2025,Mr. Nhàn,Chọn:1 chai 80ml,"[{'title': None, 'url': 'https://lzd-u.slatic.net/c67b2b0643104f92bb1b17be608b82a2_3_1739189057.723272.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/c67b2b0643104f92bb1b17be608b82a2_4_1739189058.380130.jpg', 'sort': 1, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",1
,"lần đầu mua của Shop ok, lần 2 thấy rẻ mua chỗ khác về gội thấy lạ không giống lúc đầu. Bây giờ mua lại thì thấy giống lúc đầu, vậy chai nào là thật vậy Shop 
 Giảm ngứa da đầu, Ngăn ngừa rụng tóc, 

 Hương thơm:dịu",5,05 Jul 2025,Son Truong Van,Chọn:1 chai 80ml,"[{'title': None, 'url': 'https://lzd-u.slatic.net/806dd6928aa1420980c2c06ff0563d81_6a38224682684a8e9e69adbc4b2f6b5d.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/0a0fd47d816e49599e5396027ee5db0b_aa3ae7088c5048399aeabc9349013502.jpg', 'sort': 1, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/0a0fd47d816e49599e5396027ee5db0b_cebfa08c038242718743a1ebdeeb0441.jpg', 'sort': 2, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",1
