review_id,reviewContent,rating,reviewTime,buyerName,skuInfo,images,likeCount
,"Giảm viêm da đầu, Loại bỏ vảy trắng, Giảm ngứa da đầu, Làm sạch da đầu kỹ lưỡng, Cải thiện sức khỏe da đầu, Mang lại cảm giác sảng khoái, Nguyên liệu nhập khẩu từ Đức,",5,06 Apr 2025,0***6,Sản phẩm:1 chai 80ml,"[{'title': None, 'url': 'https://lzd-u.slatic.net/58a93f3c394f426592e10d2cb2028042_5bce4a09c6d54c8ead142440f7d8cd14.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/58a93f3c394f426592e10d2cb2028042_ad720e87951e40ef8602f462490099ce.jpg', 'sort': 1, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",2
,"Đúng hàng chính hãng để sử dụng coi hiệu quả k, giao hàng móp méo sản phẩm đề nghị cẩn thận hơn",4,30 Aug 2024,Nguyenbaobinh,Sản phẩm:1 chai 80ml,"[{'title': None, 'url': 'https://lzd-u.slatic.net/85bf05a7dae64cd1a18879b84c9e0105_e39a16240bc64853ad31f0682d1d2ca4.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/ba4283cb5d584f5abb792f4494528994_a7fc294c2e514279b9cf13c50d0fdfec.jpg', 'sort': 1, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/85bf05a7dae64cd1a18879b84c9e0105_e5c41872106d4ca8a081af28c865aace.jpg', 'sort': 2, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/85bf05a7dae64cd1a18879b84c9e0105_3d8972d4af374e45ac1feab2619ddc34.jpg', 'sort': 3, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",2
,Nhìn nhỏ xíu ah. Mình chỉ bị ngứa đầu nhẹ thôi và gàu li ti nên mua dùng thử xem có trị được hẳn không. Trước có dùng loại kích thích mọc tóc của Dego rồi rất thích. Dạo gần đây mưa nhìu không khí ẩm nên da đầu ko dc khô ráo làm khó chịu nè. Nên đổi loại xem sao.,5,10 Oct 2023,Nhật Nguyễn,Sản phẩm:Dầu gội trị nấm gàu,"[{'title': None, 'url': 'https://lzd-u.slatic.net/0661294ee1f74ea3904391db807e9cc6_1_1696944309.352460.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,"Chai nó bé tý, mà giá thấy chát quá. Mong là hiệu quả, này trị hết theo như hướng dẫn chắc dùng từ 3 chai trở lên.",5,27 Nov 2023,Hải Băng,Sản phẩm:Dầu gội trị nấm gàu,"[{'title': None, 'url': 'https://lzd-u.slatic.net/8d0ba4c73cfc4c03a27f088fa22f0603_7_1701051595.426304.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/8d0ba4c73cfc4c03a27f088fa22f0603_8_1701051600.321072.jpg', 'sort': 1, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",2
,"Làm sạch da đầu kỹ lưỡng, Mang lại cảm giác sảng khoái, Loại bỏ vảy trắng, Kích thích mọc tóc,",5,09 Jan 2025,Mai Thanh Liêm,Sản phẩm:1 chai 80ml,"[{'title': None, 'url': 'https://lzd-u.slatic.net/f11ae794ac044e86b56dea36d527f902_59323c9e09e44388b9b549502d5fa245.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",2
,"Chưa sử dụng. Hy vọng trị được gầu, nấm… như đã được quảng cáo.",5,19 Jun 2025,NGUYEN THI DUNG,Sản phẩm:1 chai 80ml,"[{'title': None, 'url': 'https://lzd-u.slatic.net/838b01af4c43493795ed9eaa0826e362_1_1750312906.665457.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/838b01af4c43493795ed9eaa0826e362_2_1750312906.882434.jpg', 'sort': 1, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",2
,"sản phẩm tốt, hiệu quả khi dùng",5,23 Feb 2022,D***ỹ,Thể tích (ml):80,"[{'title': None, 'url': 'https://lzd-u.slatic.net/ce5f0e9f71894a0ea5c50d1d27e15b38_cd1064565e314627a174a03c62294fbe.jpg', 'sort': 1, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",1
,Hello shop em đã nhận được sản phẩm rồi rất OK 👌. quà tặng cũng rất thích. cảm ơn shop nhiều,5,15 Jun 2025,Đặng cao trí,Sản phẩm:1 chai 80ml,"[{'title': None, 'url': 'https://lzd-u.slatic.net/e13ca4a100134105ba77b807625c1167_549e6c7f4d714a2d84a1ff9878ebc63a.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",1
,"giao hàng nhanh chóng, cái này xài rất hiệu quả luôn nha, giảm ngứa hẳn ngay từ lần gội đầu tiên",5,12 Jul 2023,trần thị mỹ hà,Sản phẩm:Dầu gội trị nấm gàu,"[{'title': None, 'url': 'https://lzd-u.slatic.net/2dd0f48a537a43dbb44955d32f53d965_9d1ee4b46ca8408896e1390250906752.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,"đã nhận dc hàng,hàng đúng mẫu còn chất lượng thì chờ sử dụng đã nhé.",5,18 Dec 2023,phạm mạnh hùng,Sản phẩm:80ml,,1
,"Hiệu quả:  Làm tóc cảm thấy sạch sẽ và tươi mát, Nguyên liệu nhập khẩu từ Đức, Cải thiện sức khỏe da đầu, Giảm viêm da đầu,",5,13 Nov 2024,T***g,Sản phẩm:1 chai 80ml,"[{'title': None, 'url': 'https://lzd-u.slatic.net/6e1fc1a8e0734c109c356d82b9ff7bcd_1_1731474694.442506.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",10
