review_id,reviewContent,rating,reviewTime,buyerName,skuInfo,images,likeCount
,"Hiệu quả: Dưỡng tốt
 Hương thơm: Thảo mộc nhẹ mà lâu
 Thành phần: Thảo mộc thiên nhiên
Dùng dòng này dưỡng ổn nên tóc nhanh bết và dễ bị gàu, phải 2 ngày gội 1 lần. Mình không thích dùng dầu xả nên chỉ gội thôi, thấy tóc đủ mượt, không bị rối hay khô xơ đâu. Mua chai lớn cho kinh tế. Date xa.",5,07 Feb 2025,Nguyễn,,"[{'title': None, 'url': 'https://lzd-u.slatic.net/2073cef01a194353b46fe1f99b74d8c3_3_1738931778.054252.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/2073cef01a194353b46fe1f99b74d8c3_4_1738931778.080925.jpg', 'sort': 1, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",2
,"Mùi thơm dễ chịu, dùng mấy năm rồi và vẫn mua lại thường xuyên, tác dụng kích thích mọc tóc thì ko rõ rệt lắm nhưng cũng cứ hi vọng vậy.",5,10 Aug 2025,Nguyễn Mai Hương,,"[{'title': None, 'url': 'https://lzd-u.slatic.net/1ee4b16ceb3c40bcb6ea1c63933dc6a0_1_1754810975.131281.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,"Đã nhận được hàng. Đóng gói cẩn thận. Nhìn có vẻ chắc chắn. Chưa sử dụng. Lúc nào sd sẽ phản hồi nhé.
 Hương thơm:  ok",5,26 Aug 2025,Thu Auth,,"[{'title': None, 'url': 'https://lzd-u.slatic.net/8984d06fb8a441e88072f726645ffa84_4_1756185174.297119.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,"Làm sống lại tóc ngay lập tức, Hương thơm lâu dài, Tăng độ phồng cho tóc mỏng, 
Sản phẩm đóng gói sản phẩm cẩn thận, hàng giao nhận nhanh chóng, mua  dc giá rẻ",5,14 Nov 2025,vuong nguyet,,"[{'title': None, 'url': 'https://lzd-u.slatic.net/2d46ded0e9e34f1fb983fef1a9fbe953_1_1763132388.646243.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,"Dầu gội này mình được bạn bè giới thiệu, lần đầu mua dùng thử mong sẽ hợp với mình, sẽ mua dùng tiếp nếu hợp. Cảm ơn shop đóng hàng cẩn thận",5,20 Nov 2025,Y***i,,"[{'title': None, 'url': 'https://lzd-u.slatic.net/89c60a88b4884fe3ae6f4451a773a994_1_1763650045.628063.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/89c60a88b4884fe3ae6f4451a773a994_2_1763650063.203948.jpg', 'sort': 1, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,"Thành phần tự nhiên cho tóc khỏe mạnh, Làm cho tóc mềm mại và mượt mà, may được trừ xu nên giá hời hơn 
Sản phẩm chất lượng",5,12 Nov 2025,Lien Ngok,,"[{'title': None, 'url': 'https://lzd-u.slatic.net/2b748452d3a8456d91391e522e0cb6e7_1_1762949010.188235.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,"Làm dịu da đầu ngứa, Dễ dàng rửa sạch, Tăng độ phồng cho tóc mỏng, Làm cho tóc mềm mại và mượt mà, Phù hợp cho mọi loại tóc, Thêm độ bóng cho tóc xỉn màu, Bảo vệ tóc khỏi hư tổn, Làm sống lại tóc ngay lập tức,",5,08 Jun 2025,0***6,,"[{'title': None, 'url': 'https://lzd-u.slatic.net/e8ba733f8b5d4f85b3768c42bb6c388a_d0bfdd9e86804af1ab3f91a5f3c0a802.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",2
,"Hình ảnh chỉ mang tính chất nhận đồng xu
Có chất lượng như mô tả",5,19 Oct 2025,C***n,,"[{'title': None, 'url': 'https://lzd-u.slatic.net/eca133d6775545eaa09ad9f7995af71c_22_1760861276.091835.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,"giao hàng nhanh sản phẩm giống mô tả,đóng gói sản phẩm rất cẩn thận.Đã mua nhiều lần.Sẽ tiếp tục ủng hộ lần sau.",5,21 Aug 2025,Đặng Kiều Tiên,,"[{'title': None, 'url': 'https://lzd-u.slatic.net/189b316e8ced4febaa25603fa1b323e6_2cf71f6319e94006a0b6d435ecf80e2d.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}, {'title': None, 'url': 'https://lzd-u.slatic.net/189b316e8ced4febaa25603fa1b323e6_0d9029b7b094414dadd7df6669ff9ffc.jpg', 'sort': 1, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
,"Làm cho tóc mềm mại và mượt mà, Thành phần tự nhiên cho tóc khỏe mạnh, Shop đóng gói cẩn thận,giao hàng nhanh,giá rẻ hơn các shop khác, mọi người nên mua.Shipper thân thiện",5,16 Jul 2025,Pháp,,"[{'title': None, 'url': 'https://lzd-u.slatic.net/025dbdcf45b94775ada7e56aaa4fe49b_1_1752667456.062285.jpg', 'sort': 0, 'uploadTime': None, 'legal': True, 'status': 'approved', 'checkedByPeople': None, 'width': 0, 'height': 0, 'size': 0}]",0
